Author,Co Author,Author_encoded,CoAuthor_encoded
Arman Haqqi Anna Zili,Sindy Devila,15,125
Arman Haqqi Anna Zili,anton robiansyah,15,161
Arman Haqqi Anna Zili,Fevi Novkaniza,15,51
Arman Haqqi Anna Zili,Didi Harlianto,15,162
Arman Haqqi Anna Zili,Wahyu Dwi Lesmono,15,163
Arman Haqqi Anna Zili,Hirawati Lubis,15,164
Debi Oktia Haryeni,Edy Tri Baskoro,16,138
Debi Oktia Haryeni,Suhadi Wido Saputro,16,165
Debi Oktia Haryeni,Martin Bača,16,130
Debi Oktia Haryeni,Andrea Semanicova-Fenovcikova,16,133
Debi Oktia Haryeni,Zata Yumni Awanis,16,166
Debi Oktia Haryeni,Muhammad Ridwan,16,167
Herolistra Baskoroputro,Alfi Y. Zakiyyah,17,168
Herolistra Baskoroputro,Viviana Ene,17,169
Herolistra Baskoroputro,Ion Cristian,17,170
Herolistra Baskoroputro,Fabian Surya Pramudya,17,171
Herolistra Baskoroputro,Ivan Sebastian Edbert,17,172
Herolistra Baskoroputro,Faqir M Bhatti,17,173
Kurnia Susvitasari,Paul Tupper,18,174
Kurnia Susvitasari,Caroline Colijn,18,175
Kurnia Susvitasari,Jessica E Stockdale,18,176
Kurnia Susvitasari,Benjamin Howden,18,177
Kurnia Susvitasari,Norelle L. Sherry,18,178
Kurnia Susvitasari,Courtney R Lane,18,179
Kurnia Susvitasari,Nicola Mulberry,18,180
Kurnia Susvitasari,Anne Watt,18,181
Kurnia Susvitasari,Benjamin Sobkowiak,18,182
Kurnia Susvitasari,Titin Siswantining,18,21
Nahlia Rakhmawati,Esty Saraswati Nur Hartiningrum,19,183
Nahlia Rakhmawati,Noor Hidayat,19,184
Nahlia Rakhmawati,Abdul Rouf Alghofari,19,185
Nahlia Rakhmawati,Safiil Maarif,19,186
Nahlia Rakhmawati,Puput Suriyah,19,187
Nahlia Rakhmawati,Chew Cheng Meng,19,188
Nahlia Rakhmawati,ririn febriyanti,19,189
Nahlia Rakhmawati,LIA BUDI TRISTANTI,19,190
Zuherman Rustam,Ilsya Wirasati,20,191
Zuherman Rustam,Aini Suri Talita,20,192
Zuherman Rustam,Selly Anastassia Amellia Kharis,20,158
Zuherman Rustam,Cédric Stéphane KOUMETIO TEKOUABOU,20,193
Zuherman Rustam,HASSAN SILKAN,20,194
Zuherman Rustam,Ni Putu Ayu Audia Ariantari,20,195
Zuherman Rustam,María Jesús Segovia-Vargas,20,196
Zuherman Rustam,Ridhani Faradina,20,197
